parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,season,team
alpha[27],0.8981722332406622,0.032318143281470646,2.294573536054708,-3.827231420454825,-0.3470893367977207,0.8482071885956215,2.128209255018959,5.756041142352478,5040.935688217873,1.0003532724670197,2006,ARI
alpha[28],0.07932782416631973,0.04408667308198185,2.4656229841483808,-5.524987884404117,-1.1054288531604146,0.33704799331285334,1.5274502931371774,4.6172414464464975,3127.7979159854003,0.9994989676115509,2006,LA
alpha[29],2.003023464687249,0.05026275177585887,2.586870569955555,-2.1029769574492065,0.3937510200355758,1.5566054515358283,3.2022989842962373,8.445872469748359,2648.847018986751,0.9993892192190404,2006,LAC
alpha[30],0.36789047341637,0.040572539520142,2.4496765744477518,-5.186711451106762,-0.8337325899880956,0.5362300761250198,1.7827224782873594,5.130405735265076,3645.466523543163,0.999989591475781,2006,LV
alpha[31],1.7342684192495155,0.04664365619051996,2.484243918010557,-2.685634985511367,0.22700338830873978,1.4103122303471918,2.8911500871740285,7.718380753274375,2836.633969928862,0.9998544526407148,2006,PIT
alpha[32],1.336494916817851,0.04172753933113199,2.4683774355722794,-3.558800185861681,-0.038885414078439345,1.1577380320966482,2.5094298898781267,7.065359135600438,3499.2710602743573,0.9995260315324979,2006,HOU
alpha_mean,0.8265725923309213,0.01496387344264851,0.9433000726977984,-1.0520304225278774,0.23114953291036838,0.828626397966606,1.4362106302932898,2.677979511966907,3973.8519487807266,0.9994111032200845,2006,ALL
alpha_sigma,2.278905069121864,0.052467347070300985,1.4668809056065328,0.12635355801071257,1.122493892371938,2.125610322649344,3.271579292535232,5.444878619509929,781.6485024059646,1.0031018286961362,2006,ALL
alpha[1],1.3706635129912128,0.07153012635721251,3.1519214176696435,-6.121021975267664,-0.3598675652946458,1.8315693785673965,3.3084687831940682,6.938251338338011,1941.6581863800338,0.999402356297822,2007,ATL
alpha[2],2.084761125905007,0.0504466246080474,2.977775723589043,-4.385563601985502,0.4041425646171842,2.3194056909413447,3.852044167377551,7.991445815060557,3484.333723698691,1.0000579691271436,2007,CHI
alpha[3],2.5898191053855926,0.047799549089999775,2.875229136171272,-3.7811892009811676,1.077099045401912,2.6902173156150466,4.31100927968142,8.417375066725127,3618.2395949792394,0.9991021919485326,2007,CLE
alpha[4],4.377084984579723,0.057723870674060394,3.0578812659825414,-1.0906505956999126,2.4158348866664054,3.9540708256355828,6.124845723329559,11.201743991165195,2806.275769876418,1.0002965029050408,2007,DEN
alpha[5],4.546097123194782,0.06703923714370129,3.2331466433327516,-1.076733129868761,2.487087395135338,4.103915844060197,6.24026887457512,12.159532117296182,2325.9087828325046,0.9998134076205168,2007,GB
alpha[6],2.7802601099133493,0.05028473997029727,3.0142075832421416,-3.463361064730876,1.0968455438778164,2.8259156414850675,4.534843458143442,8.980717748701226,3593.1380133759862,1.0004896274280943,2007,IND
alpha[7],4.324814557820665,0.06380714903773065,3.144417789654823,-1.2429631135634018,2.3448878477577333,3.9520672112849122,6.078215149163614,11.309580356083567,2428.520693929031,0.9997152856168298,2007,JAX
alpha[8],0.8329555225777299,0.07219202041119466,3.148420698224285,-6.351411449643179,-1.036178666007393,1.2705795603866306,3.0073395499595303,6.233071612166634,1901.9851634223944,0.999966173519947,2007,NO
alpha[9],1.6204600031498946,0.05604804938056644,2.953169726406864,-5.025428284080812,-0.025098156394329885,1.9187113703250143,3.459127568194561,7.198665243476586,2776.2323482013494,0.999843197532436,2007,NYJ
alpha[10],0.8551329588213453,0.0744678454146275,3.2292917903233564,-6.469546041673738,-1.0810510314292952,1.3451222907760712,3.043183781062952,6.346365021915033,1880.51585724888,0.9993674297848149,2007,PHI
alpha[11],4.984477396587054,0.07974101477383179,3.3570020498776234,-0.621805486964413,2.7066690772464304,4.453843642487216,6.810531822954766,12.572429988487212,1772.3100354020808,0.9991808647937278,2007,SEA
alpha[12],4.392417927747264,0.06661268774545208,3.129028040201332,-1.097270694678776,2.4202525367061742,3.9909405356414345,6.133472135911122,11.506394741840504,2206.5054040651476,1.0024135984828089,2007,TB
alpha[13],2.175073001049489,0.04865946498167977,2.986420391257142,-4.192458508136908,0.4449881185984107,2.4200672843590754,3.9208488266568162,7.877706549108637,3766.7537178912376,1.001101394323161,2007,TEN
alpha[14],2.795056058392165,0.049139604041748317,2.8965397984229377,-3.2656169556656662,1.1566633671503763,2.8207561636572236,4.454812961729532,8.715018562969247,3474.527031298846,0.9996827835785806,2007,WAS
alpha[15],4.12966352688245,0.05895050307333359,3.0945628018810205,-1.3810024313638265,2.184556015972672,3.731572987501594,5.886712045301348,10.899484474027478,2755.646916948444,0.9996820695647011,2007,BAL
alpha[16],2.1972801225558602,0.05003198293803818,2.969342618499132,-4.135876230166824,0.47940383249631513,2.390911229991782,3.960999555879834,7.935371111258424,3522.290665058214,0.9999859782000144,2007,BUF
alpha[17],-0.2518045816581448,0.09816999598948932,3.7143342186223407,-8.776579632722067,-2.531543415973612,0.46754900413283607,2.5074940159354986,5.276480744151894,1431.5430475760497,0.9994505187183689,2007,CAR
alpha[18],3.228696465165286,0.05380177323203623,3.006411671247524,-2.723560484596134,1.5013685350097172,3.17269219865819,4.83577932618361,9.59602422827943,3122.5091393079565,0.9996550172069733,2007,CIN
alpha[19],3.608985237728609,0.053423192380658985,2.9916970337157354,-2.227712982012206,1.8472680015317264,3.4493189393844097,5.330539874442034,10.13092183508601,3135.996352983312,1.0002088037259,2007,DAL
alpha[20],6.089914261358056,0.09748136966201365,3.5832258123766616,0.7550048902720056,3.4269776203168414,5.410207820206319,8.28357073994821,14.199646318792905,1351.1548071324503,0.9999598299451806,2007,DET
alpha[21],1.3146246454506842,0.06092593061375139,3.1064475573761006,-5.808747753647469,-0.4221250697268081,1.7552551545391315,3.3556241552290142,6.728139058848004,2599.7028455086615,0.9993839863266152,2007,KC
alpha[22],-0.00622765072218565,0.10025660587865892,3.4861499011170105,-8.135696745224262,-2.0070568028561313,0.6357953729427668,2.5485056449342784,5.162804581519021,1209.1108526698247,0.9999705291317479,2007,MIA
alpha[23],3.8469964779830046,0.052684668187721904,2.9299010521909463,-1.7537342598511132,2.109235673727189,3.5834075852038545,5.510923785509921,10.455053416934247,3092.6972566616964,0.9993957704399606,2007,MIN
alpha[24],4.4447417615631,0.06859560270005895,3.203616507697905,-0.8916201886528237,2.354289228798279,3.9855079721914035,6.229583150726529,12.291076996348398,2181.1648640905955,0.999376107851751,2007,NE
alpha[25],0.6753836490472298,0.08057553019775283,3.3232410602507465,-7.047365522324147,-1.1775926930619143,1.2124978530336854,2.9104226439425234,6.164849049785343,1701.0510465076773,1.0007479552023861,2007,NYG
alpha[26],1.7524362237754072,0.05176213267121352,3.0044141315110937,-4.97973848618003,0.06136148851680967,2.1080101850275446,3.6380372683795197,7.526621911332375,3368.9554572818215,0.9993160345616823,2007,SF
alpha[27],3.04501044171071,0.04860486175397385,2.939986657420404,-2.8783351494957494,1.3851937829180683,2.9845235540658885,4.7282966378415345,9.190194265397686,3658.737860535211,0.9993530117153967,2007,ARI
